Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,173,107,66,57,1.7714410000000003
H2_cmplt_BK_sto3g.qasm,101,70,42,40,0.8749409999999997
H2_cmplt_JW_sto3g.qasm,95,64,41,39,0.8843999999999994
H2_cmplt_BK_631g.qasm,3605,1764,1474,1010,38.620095000000006
H2_cmplt_P_631g.qasm,3905,2081,1564,1176,45.17369700000001
H2_cmplt_JW_631g.qasm,2221,1256,938,747,25.970449000000002
H4_cmplt_P_sto3g.qasm,6686,3567,2750,2066,72.91242199999999
H4_cmplt_BK_sto3g.qasm,8245,4267,3341,2431,95.02635499999997
H4_cmplt_JW_sto3g.qasm,4051,2292,1745,1385,59.26863800000001
LiH_frz_BK_sto3g.qasm,8652,4519,3468,2559,112.65332000000001
LiH_frz_P_sto3g.qasm,9609,4663,3821,2637,124.22022800000013
LiH_frz_JW_sto3g.qasm,5360,2964,2349,1856,65.63125099999979
NH_frz_P_sto3g.qasm,23682,11736,9605,6754,288.482194
NH_frz_JW_sto3g.qasm,9821,5827,4463,3636,119.29381999999998
NH_frz_BK_sto3g.qasm,26350,13221,10813,7715,327.59365900000006
