Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,157,95,76,60,2.389106
H2_cmplt_BK_sto3g.qasm,78,58,40,38,1.5914010000000012
H2_cmplt_JW_sto3g.qasm,96,64,41,39,0.7150120000000006
H2_cmplt_BK_631g.qasm,2613,1523,1638,1116,40.499981999999996
H2_cmplt_P_631g.qasm,3200,1850,1981,1346,41.425841000000005
H2_cmplt_JW_631g.qasm,2184,1386,1303,1024,42.55454999999999
H4_cmplt_P_sto3g.qasm,5307,3036,3444,2281,84.41706500000001
H4_cmplt_BK_sto3g.qasm,5254,3125,3309,2329,83.29232999999999
H4_cmplt_JW_sto3g.qasm,3172,2033,1964,1536,59.43213900000001
LiH_frz_BK_sto3g.qasm,5865,3446,4029,2711,95.91524300000003
LiH_frz_P_sto3g.qasm,5773,3397,3932,2685,92.43378100000007
LiH_frz_JW_sto3g.qasm,4740,2912,3182,2279,96.46095300000002
NH_frz_P_sto3g.qasm,15720,9173,10645,7162,284.80734300000006
NH_frz_JW_sto3g.qasm,11355,6888,7630,5407,221.12285599999996
NH_frz_BK_sto3g.qasm,15716,9352,10782,7370,289.78164200000015
