Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,135,92,55,51,2.1399130000000004
H2_cmplt_BK_sto3g.qasm,95,68,39,37,1.5881750000000006
H2_cmplt_JW_sto3g.qasm,107,76,41,39,1.9993620000000014
H2_cmplt_BK_631g.qasm,2681,1503,1066,841,33.094065
H2_cmplt_P_631g.qasm,3698,1945,1461,1086,48.59023199999999
H2_cmplt_JW_631g.qasm,2402,1436,1009,841,37.632132999999996
H4_cmplt_P_sto3g.qasm,6882,3706,2755,2084,91.667449
H4_cmplt_BK_sto3g.qasm,6683,3590,2690,2018,77.74411399999997
H4_cmplt_JW_sto3g.qasm,4099,2500,1741,1445,65.81659299999978
LiH_frz_BK_sto3g.qasm,9076,4570,3574,2555,116.97478899999987
LiH_frz_P_sto3g.qasm,8590,4607,3367,2552,114.50717699999996
LiH_frz_JW_sto3g.qasm,6958,3888,2853,2223,97.19873400000006
NH_frz_P_sto3g.qasm,20653,10643,8213,5992,334.667575
NH_frz_JW_sto3g.qasm,13642,7518,5707,4395,216.946661
NH_frz_BK_sto3g.qasm,22901,12068,9214,6853,371.0493429999999
