Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,176,122,44,42,1.9796080589294434
H2_cmplt_BK_sto3g.qasm,155,103,36,34,1.5845167636871338
H2_cmplt_JW_sto3g.qasm,179,124,39,38,2.323079824447632
H2_cmplt_BK_631g.qasm,2737,1859,746,673,48.0561249256134
H2_cmplt_P_631g.qasm,2815,1953,784,704,50.87351107597351
H2_cmplt_JW_631g.qasm,2525,1774,606,580,43.96921110153198
H4_cmplt_P_sto3g.qasm,5716,3854,1623,1412,107.48478102684021
H4_cmplt_BK_sto3g.qasm,6102,4129,1791,1604,119.09037327766418
H4_cmplt_JW_sto3g.qasm,5566,3837,1467,1357,104.69472908973694
LiH_frz_BK_sto3g.qasm,7763,5069,2385,2081,152.91091418266296
LiH_frz_P_sto3g.qasm,6552,4435,1880,1682,133.29274892807007
LiH_frz_JW_sto3g.qasm,5596,3989,1394,1336,117.41870307922363
NH_frz_P_sto3g.qasm,16699,11224,4825,4234,458.92968797683716
NH_frz_JW_sto3g.qasm,15324,10431,4215,3883,411.69139099121094
NH_frz_BK_sto3g.qasm,19317,14122,5875,5680,579.9060528278351
