Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,71,47,43,33,0.16902199999999956
H2_cmplt_BK_sto3g.qasm,68,53,40,38,0.13009999999999966
H2_cmplt_JW_sto3g.qasm,78,54,42,35,0.27281400000000033
H2_cmplt_BK_631g.qasm,1127,784,806,609,4.006654999999999
H2_cmplt_P_631g.qasm,1200,920,883,708,4.733737999999997
H2_cmplt_JW_631g.qasm,890,659,589,490,4.040099000000001
H4_cmplt_P_sto3g.qasm,2498,1851,1939,1476,10.340347999999999
H4_cmplt_BK_sto3g.qasm,2717,1834,2117,1515,9.659109999999998
H4_cmplt_JW_sto3g.qasm,1744,1256,1178,940,8.344095999999993
LiH_frz_BK_sto3g.qasm,2518,1859,1954,1516,11.850696
LiH_frz_P_sto3g.qasm,2445,1861,1862,1480,12.127735000000001
LiH_frz_JW_sto3g.qasm,1748,1303,1224,1004,13.032811999999993
NH_frz_P_sto3g.qasm,6592,5317,5244,4330,32.04861600000001
NH_frz_JW_sto3g.qasm,5498,4299,4213,3536,35.31468799999999
NH_frz_BK_sto3g.qasm,7967,6579,6419,5564,35.97429299999999
