Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,61,50,32,30,0.06014599999999959
H2_cmplt_BK_sto3g.qasm,59,46,31,31,0.0723660000000006
H2_cmplt_JW_sto3g.qasm,85,65,39,37,0.11092700000000022
H2_cmplt_BK_631g.qasm,839,706,481,467,1.641413000000001
H2_cmplt_P_631g.qasm,915,769,543,531,1.7141520000000003
H2_cmplt_JW_631g.qasm,940,787,534,518,2.065029000000001
H4_cmplt_P_sto3g.qasm,1766,1490,1070,1035,3.189639999999997
H4_cmplt_BK_sto3g.qasm,1757,1502,1066,1043,4.040838000000001
H4_cmplt_JW_sto3g.qasm,1805,1457,1006,950,3.6873980000000017
LiH_frz_BK_sto3g.qasm,1751,1529,1135,1120,4.908667999999999
LiH_frz_P_sto3g.qasm,1812,1554,1137,1119,5.906948999999997
LiH_frz_JW_sto3g.qasm,1847,1583,1113,1083,8.645734000000012
NH_frz_P_sto3g.qasm,4559,3974,2899,2855,10.218001000000001
NH_frz_JW_sto3g.qasm,4549,3724,2669,2518,12.766176999999999
NH_frz_BK_sto3g.qasm,5197,4582,3320,3290,16.973341000000005
