Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,76,63,47,45,0.07505899999999999
H2_cmplt_BK_sto3g.qasm,77,61,49,46,0.0876570000000001
H2_cmplt_JW_sto3g.qasm,91,72,45,43,0.12964699999999985
H2_cmplt_BK_631g.qasm,1190,945,832,711,1.9504929999999998
H2_cmplt_P_631g.qasm,1258,1049,886,825,1.947455999999999
H2_cmplt_JW_631g.qasm,982,828,576,556,2.2704009999999997
H4_cmplt_P_sto3g.qasm,2472,2093,1776,1659,3.479088000000001
H4_cmplt_BK_sto3g.qasm,2728,2143,2037,1705,3.9925390000000007
H4_cmplt_JW_sto3g.qasm,2004,1599,1205,1090,3.99418399999999
LiH_frz_BK_sto3g.qasm,2836,2411,2220,1985,5.383271000000001
LiH_frz_P_sto3g.qasm,2428,2080,1753,1670,6.280566
LiH_frz_JW_sto3g.qasm,1910,1640,1176,1140,10.315591999999995
NH_frz_P_sto3g.qasm,6780,5987,5120,4920,11.47620599999999
NH_frz_JW_sto3g.qasm,5665,4744,3785,3509,13.685529000000002
NH_frz_BK_sto3g.qasm,7982,6726,6105,5454,18.09153600000002
