Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,7,5,5,5,0.12152699999999994
graycode6_47.qasm,5,5,5,5,0.04550199999999993
4gt11_84.qasm,17,11,9,8,0.1273979999999999
ex-1_166.qasm,18,12,9,9,0.13736499999999996
4mod5-v0_20.qasm,19,12,10,9,0.1377590000000004
4mod5-v1_22.qasm,19,12,11,10,0.14296600000000037
ham3_102.qasm,20,13,9,9,0.14028100000000077
mod5d1_63.qasm,21,13,13,11,0.1450749999999994
4gt11_83.qasm,22,16,14,14,0.14944899999999972
4mod5-v1_24.qasm,31,19,16,15,0.21887300000000032
rd32-v1_68.qasm,27,16,12,12,0.18658200000000047
mod5mils_65.qasm,31,20,16,16,0.21203299999999992
4mod5-v0_19.qasm,32,21,16,16,0.14829800000000048
rd32-v0_66.qasm,27,16,12,12,0.1875840000000002
alu-v0_27.qasm,33,20,17,15,0.22309299999999954
alu-v1_29.qasm,33,20,17,15,0.28356900000000085
alu-v2_33.qasm,34,21,17,15,0.2287739999999996
3_17_13.qasm,33,22,17,17,0.15624700000000136
alu-v1_28.qasm,34,21,18,16,0.233765
alu-v3_35.qasm,34,21,18,16,0.24982200000000088
alu-v4_37.qasm,34,21,18,16,0.2334190000000005
4gt11_82.qasm,24,17,16,15,0.1811139999999991
decod24-v2_43.qasm,47,29,22,22,0.30538499999999935
miller_11.qasm,45,29,23,23,0.27178199999999997
decod24-v0_38.qasm,47,29,21,21,0.3035440000000005
alu-v3_34.qasm,47,30,24,23,0.2121739999999992
mod5d2_64.qasm,48,32,25,25,0.2182820000000003
4gt13_92.qasm,60,35,30,26,0.3893729999999991
4gt13-v1_93.qasm,61,36,30,27,0.3938769999999998
4mod5-bdd_287.qasm,62,40,31,31,0.4579210000000007
4mod5-v0_18.qasm,60,39,31,31,0.4040210000000002
one-two-three-v2_100.qasm,64,37,32,29,0.44792699999999996
one-two-three-v3_101.qasm,65,39,32,29,0.4464459999999999
4mod5-v1_23.qasm,63,38,32,30,0.4435690000000001
decod24-bdd_294.qasm,67,40,32,31,0.28936200000000056
rd32_270.qasm,74,46,36,35,0.4732830000000021
4gt5_75.qasm,75,43,38,33,0.5186309999999974
alu-v0_26.qasm,74,45,38,35,0.5803860000000007
decod24-v1_41.qasm,77,46,38,35,0.5044029999999999
alu-bdd_288.qasm,76,46,38,35,0.5645559999999961
4gt5_76.qasm,83,52,46,42,0.5456840000000014
4gt13_91.qasm,93,57,47,44,0.6052160000000022
alu-v4_36.qasm,98,58,49,44,0.642163
4gt13_90.qasm,95,58,49,45,0.6914450000000016
4gt5_77.qasm,116,67,58,51,0.7598679999999973
one-two-three-v1_99.qasm,117,72,59,56,0.7685919999999982
rd53_138.qasm,118,54,60,42,0.7523240000000051
pf1_10_before.qasm,130,94,60,60,0.7976090000000013
decod24-v3_45.qasm,132,76,64,57,0.8684850000000033
one-two-three-v0_98.qasm,130,77,65,59,0.8919139999999999
4gt10-v1_81.qasm,131,78,66,60,1.0578499999999984
aj-e11_165.qasm,137,82,69,63,1.0550159999999984
alu-v2_32.qasm,146,85,72,64,0.9633530000000015
4mod7-v1_96.qasm,142,82,70,62,1.1188089999999988
4mod7-v0_94.qasm,145,85,70,64,1.1486829999999983
mini_alu_305.qasm,153,67,77,53,1.1023100000000028
mod10_176.qasm,158,93,78,70,0.9982910000000018
4gt4-v0_80.qasm,159,93,79,71,1.1887840000000054
cnt3-5_179.qasm,155,59,75,41,1.0337859999999992
4gt12-v0_88.qasm,173,101,86,77,1.1900499999999994
ising_model_10.qasm,227,41,90,20,1.4477450000000047
qft_10.qasm,1,1,0,0,0.19589400000000268
sys6-v0_111.qasm,192,72,98,55,1.4086270000000027
