Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,35.0,21.0,11.0,9.0,1.1833631992340088
graycode6_47.qasm,29.0,17.0,5.0,5.0,0.998204231262207
4gt11_84.qasm,53.0,29.0,8.0,7.0,0.8314399719238281
ex-1_166.qasm,59.0,38.0,8.0,8.0,0.6698727607727051
4mod5-v0_20.qasm,67.0,38.0,11.0,9.0,0.799119234085083
4mod5-v1_22.qasm,68.0,38.0,12.0,10.0,0.8634357452392578
ham3_102.qasm,56.0,35.0,9.0,9.0,0.7232840061187744
mod5d1_63.qasm,75.0,43.0,17.0,15.0,1.1055102348327637
4gt11_83.qasm,82.0,41.0,13.0,13.0,1.115330696105957
4mod5-v1_24.qasm,115.0,65.0,18.0,17.0,1.0493321418762207
rd32-v1_68.qasm,101.0,52.0,18.0,15.0,1.132451057434082
mod5mils_65.qasm,118.0,67.0,20.0,18.0,1.3419220447540283
4mod5-v0_19.qasm,120.0,69.0,22.0,19.0,1.4562408924102783
rd32-v0_66.qasm,94.0,48.0,18.0,15.0,1.217921257019043
alu-v0_27.qasm,136.0,69.0,25.0,23.0,1.6170272827148438
alu-v1_29.qasm,133.0,67.0,25.0,23.0,1.5177578926086426
alu-v2_33.qasm,127.0,64.0,23.0,18.0,1.469076156616211
3_17_13.qasm,106.0,64.0,17.0,17.0,1.4377169609069824
alu-v1_28.qasm,142.0,74.0,26.0,24.0,1.5916688442230225
alu-v3_35.qasm,114.0,63.0,21.0,19.0,1.1237339973449707
alu-v4_37.qasm,127.0,68.0,21.0,19.0,1.0649900436401367
4gt11_82.qasm,110.0,58.0,20.0,20.0,1.5763089656829834
decod24-v2_43.qasm,161.0,92.0,23.0,21.0,1.2582530975341797
miller_11.qasm,145.0,94.0,23.0,23.0,0.9687628746032715
decod24-v0_38.qasm,159.0,86.0,27.0,24.0,1.5147862434387207
alu-v3_34.qasm,205.0,102.0,42.0,31.0,1.824247121810913
mod5d2_64.qasm,195.0,107.0,39.0,33.0,1.8992719650268555
4gt13_92.qasm,216.0,108.0,38.0,34.0,1.9474289417266846
4gt13-v1_93.qasm,195.0,100.0,33.0,30.0,1.7523820400238037
4mod5-bdd_287.qasm,229.0,127.0,41.0,35.0,1.95015287399292
4mod5-v0_18.qasm,218.0,126.0,41.0,37.0,2.166928768157959
one-two-three-v2_100.qasm,212.0,112.0,35.0,32.0,1.994323968887329
one-two-three-v3_101.qasm,222.0,121.0,34.0,31.0,1.8780992031097412
4mod5-v1_23.qasm,244.0,126.0,44.0,33.0,2.1822168827056885
decod24-bdd_294.qasm,245.0,127.0,46.0,36.0,2.1625969409942627
rd32_270.qasm,261.0,146.0,48.0,41.0,2.172455310821533
4gt5_75.qasm,258.0,138.0,45.0,40.0,2.2878096103668213
alu-v0_26.qasm,272.0,138.0,50.0,42.0,2.397057056427002
decod24-v1_41.qasm,255.0,136.0,42.0,38.0,2.1037771701812744
alu-bdd_288.qasm,300.0,147.0,62.0,50.0,2.1928210258483887
