Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,12,10,5,5,6.472645044326782
graycode6_47.qasm,25,17,5,5,4.492486953735352
4gt11_84.qasm,48,25,8,7,3.6256651878356934
ex-1_166.qasm,46,30,9,9,4.399540901184082
4mod5-v0_20.qasm,56,33,9,8,4.317317962646484
4mod5-v1_22.qasm,54,30,10,9,4.068943977355957
ham3_102.qasm,42,26,9,9,4.2283618450164795
mod5d1_63.qasm,56,31,13,11,4.314878940582275
4gt11_83.qasm,63,32,11,11,4.753454208374023
4mod5-v1_24.qasm,80,46,16,15,4.394001007080078
rd32-v1_68.qasm,69,38,12,12,5.190741062164307
mod5mils_65.qasm,95,55,16,16,4.988527059555054
4mod5-v0_19.qasm,82,50,16,16,4.830998182296753
rd32-v0_66.qasm,63,35,12,12,4.0263731479644775
alu-v0_27.qasm,92,48,17,15,4.599123954772949
alu-v1_29.qasm,93,48,17,15,4.375654935836792
alu-v2_33.qasm,92,49,17,15,4.581161975860596
3_17_13.qasm,87,53,17,17,4.190034866333008
alu-v1_28.qasm,100,54,18,16,4.440195798873901
alu-v3_35.qasm,94,49,18,16,4.220911979675293
alu-v4_37.qasm,94,49,18,16,4.382101058959961
4gt11_82.qasm,72,32,12,11,5.003659009933472
decod24-v2_43.qasm,113,69,21,21,4.674120903015137
miller_11.qasm,117,74,23,23,4.277240037918091
decod24-v0_38.qasm,109,67,21,21,4.413042068481445
alu-v3_34.qasm,132,71,24,23,4.715024948120117
mod5d2_64.qasm,125,73,25,25,5.0287580490112305
4gt13_92.qasm,163,81,30,26,4.8969879150390625
4gt13-v1_93.qasm,155,81,29,26,4.908028841018677
4mod5-bdd_287.qasm,167,96,31,31,4.8968751430511475
4mod5-v0_18.qasm,148,85,28,28,4.981255292892456
one-two-three-v2_100.qasm,162,88,31,28,4.998306751251221
one-two-three-v3_101.qasm,164,91,32,29,4.907391786575317
4mod5-v1_23.qasm,158,88,32,30,4.937516927719116
decod24-bdd_294.qasm,169,96,32,31,4.834587097167969
rd32_270.qasm,195,111,36,35,5.4474780559539795
4gt5_75.qasm,203,100,37,32,5.226266860961914
alu-v0_26.qasm,202,106,38,35,5.52541184425354
decod24-v1_41.qasm,195,104,38,35,5.464173078536987
alu-bdd_288.qasm,195,106,38,35,5.3029420375823975
4gt5_76.qasm,233,120,44,40,6.362397909164429
4gt13_91.qasm,249,131,45,42,6.070586204528809
alu-v4_36.qasm,259,135,49,44,5.7306201457977295
4gt13_90.qasm,254,127,46,42,6.296442270278931
4gt5_77.qasm,295,149,57,50,6.756774187088013
one-two-three-v1_99.qasm,310,173,59,56,6.423823833465576
rd53_138.qasm,305,123,56,40,5.5930187702178955
pf1_10_before.qasm,301,198,60,60,5.792448997497559
decod24-v3_45.qasm,341,174,64,57,7.053025007247925
one-two-three-v0_98.qasm,347,182,61,55,5.032483100891113
4gt10-v1_81.qasm,347,182,65,59,5.495166063308716
aj-e11_165.qasm,352,199,69,63,5.2302939891815186
alu-v2_32.qasm,379,196,72,64,7.263530969619751
4mod7-v1_96.qasm,363,186,69,61,7.131515979766846
4mod7-v0_94.qasm,368,199,69,63,6.884257078170776
mini_alu_305.qasm,406,166,77,53,6.158192157745361
mod10_176.qasm,408,215,77,69,7.29222297668457
4gt4-v0_80.qasm,410,217,79,71,7.3271002769470215
cnt3-5_179.qasm,397,118,75,41,5.537867069244385
4gt12-v0_88.qasm,448,240,85,77,7.444623708724976
ising_model_10.qasm,544,97,90,20,7.041975975036621
qft_10.qasm,31,7,0,0,5.544247150421143
sys6-v0_111.qasm,502,167,93,54,7.212836027145386
4_49_16.qasm,496,275,96,88,8.322029113769531
4gt12-v1_89.qasm,512,269,100,88,8.591684818267822
rd73_140.qasm,525,202,98,66,7.2523698806762695
0410184_169.qasm,477,210,97,69,7.969622850418091
4gt4-v0_79.qasm,521,267,101,90,8.763139009475708
hwb4_49.qasm,532,293,101,92,8.754008769989014
mod10_171.qasm,540,289,106,95,8.84251594543457
4gt4-v0_78.qasm,529,272,104,94,9.21697211265564
4gt12-v0_87.qasm,570,277,109,92,8.423746109008789
4gt4-v0_72.qasm,598,297,113,95,8.703608751296997
4gt12-v0_86.qasm,595,282,112,95,9.363261938095093
4gt4-v1_74.qasm,623,333,119,108,9.68715500831604
ising_model_13.qasm,685,90,120,20,9.31375789642334
pf1_20_before.qasm,617,402,120,120,15.39010500907898
pf1_20_after.qasm,606,416,120,120,14.01509404182434
pf2_10_before.qasm,580,389,118,118,10.80820608139038
sym6_316.qasm,646,300,123,98,8.647432088851929
rd53_311.qasm,661,288,124,92,8.298936128616333
mini-alu_167.qasm,640,332,126,111,10.651260137557983
one-two-three-v0_97.qasm,681,359,127,114,10.150949001312256
rd53_135.qasm,696,342,134,114,10.349955081939697
sym9_146.qasm,773,283,141,91,6.724023818969727
decod24-enable_126.qasm,777,410,149,134,6.981364011764526
ham7_104.qasm,741,389,146,131,11.47463083267212
ising_model_16.qasm,848,89,150,20,11.0051908493042
mod8-10_178.qasm,799,417,152,135,10.397000789642334
rd84_142.qasm,818,246,147,79,8.176312923431396
ex3_229.qasm,910,481,174,156,11.35965609550476
4gt4-v0_73.qasm,915,468,177,158,12.288208723068237
pf1_30_after.qasm,907,616,180,180,24.59389305114746
pf1_30_before.qasm,921,570,180,180,16.288781881332397
mod8-10_177.qasm,995,531,192,172,7.297976016998291
alu-v2_31.qasm,1013,521,197,172,7.53802490234375
