Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,44,28,8,8,0.017927999999999944
graycode6_47.qasm,25,17,5,5,0.06009700000000029
4gt11_84.qasm,85,51,15,15,0.02202700000000002
ex-1_166.qasm,85,52,14,14,0.03129500000000007
4mod5-v0_20.qasm,77,47,13,12,0.03606299999999951
4mod5-v1_22.qasm,65,39,11,10,0.041532000000000124
ham3_102.qasm,70,44,12,12,0.022613000000000216
mod5d1_63.qasm,135,81,25,23,0.0353100000000004
4gt11_83.qasm,85,47,15,15,0.029891000000000112
4mod5-v1_24.qasm,181,96,32,29,0.09217799999999965
rd32-v1_68.qasm,112,72,20,19,0.0334869999999996
mod5mils_65.qasm,164,94,29,27,0.031111999999999806
4mod5-v0_19.qasm,159,96,28,28,0.02846100000000007
rd32-v0_66.qasm,112,72,20,19,0.03330900000000003
alu-v0_27.qasm,175,89,31,27,0.03220599999999996
alu-v1_29.qasm,176,90,31,27,0.03492499999999987
alu-v2_33.qasm,177,94,31,27,0.03458099999999975
3_17_13.qasm,161,98,28,28,0.03030799999999978
alu-v1_28.qasm,190,102,34,30,0.03448099999999954
alu-v3_35.qasm,182,93,31,27,0.04087799999999975
alu-v4_37.qasm,182,93,31,27,0.04342200000000007
4gt11_82.qasm,90,47,16,16,0.026627999999999652
decod24-v2_43.qasm,219,126,38,38,0.044392999999999905
miller_11.qasm,229,134,38,38,0.04586299999999932
decod24-v0_38.qasm,202,118,34,34,0.05206799999999934
alu-v3_34.qasm,289,155,52,49,0.03930300000000031
mod5d2_64.qasm,250,152,45,45,0.03580300000000047
4gt13_92.qasm,306,154,54,46,0.1014229999999996
4gt13-v1_93.qasm,288,155,50,46,0.10451799999999967
4mod5-bdd_287.qasm,313,183,55,52,0.04605499999999996
4mod5-v0_18.qasm,223,129,38,38,0.04635699999999954
one-two-three-v2_100.qasm,300,161,52,47,0.06612300000000015
one-two-three-v3_101.qasm,343,189,60,56,0.06205700000000025
4mod5-v1_23.qasm,322,177,57,55,0.04194999999999993
decod24-bdd_294.qasm,325,190,57,57,0.04892100000000088
rd32_270.qasm,370,219,64,64,0.05171500000000062
4gt5_75.qasm,375,207,66,63,0.05719799999999964
alu-v0_26.qasm,412,219,74,67,0.06530099999999983
decod24-v1_41.qasm,407,219,71,64,0.1270869999999995
alu-bdd_288.qasm,429,224,77,69,0.10161100000000012
4gt5_76.qasm,403,215,72,65,0.07412999999999936
4gt13_91.qasm,460,266,82,82,0.07092399999999977
alu-v4_36.qasm,543,297,97,89,0.11382300000000001
4gt13_90.qasm,465,266,83,83,0.07371399999999984
4gt5_77.qasm,575,303,101,91,0.08671499999999988
one-two-three-v1_99.qasm,705,367,125,111,0.1402360000000007
rd53_138.qasm,674,317,122,98,0.07375499999999935
pf1_10_before.qasm,506,329,84,72,0.10498299999999983
decod24-v3_45.qasm,762,407,136,120,0.13523900000000033
one-two-three-v0_98.qasm,743,408,133,122,0.13867100000000043
4gt10-v1_81.qasm,760,403,136,123,0.14007900000000006
aj-e11_165.qasm,699,377,123,111,0.08453599999999994
alu-v2_32.qasm,848,472,152,146,0.08280800000000088
4mod7-v1_96.qasm,730,392,129,117,0.08705600000000047
4mod7-v0_94.qasm,780,418,139,125,0.15901600000000027
mini_alu_305.qasm,897,348,161,108,0.08867099999999795
mod10_176.qasm,929,482,167,146,0.15524399999999972
4gt4-v0_80.qasm,967,497,173,153,0.0939249999999987
cnt3-5_179.qasm,1266,352,234,107,0.19581700000000168
4gt12-v0_88.qasm,875,483,154,145,0.10486900000000254
ising_model_10.qasm,620,108,90,20,0.30959000000000003
qft_10.qasm,0,0,0,0,0.008301000000001224
sys6-v0_111.qasm,1108,489,200,147,0.11275200000000041
4_49_16.qasm,1137,606,203,185,0.16662099999999924
4gt12-v1_89.qasm,1163,607,207,182,0.1283449999999995
rd73_140.qasm,1190,504,216,154,0.12103600000000014
0410184_169.qasm,1255,560,226,166,0.24306699999999992
4gt4-v0_79.qasm,1064,618,188,186,0.1272859999999998
hwb4_49.qasm,1135,631,200,189,0.14278800000000125
mod10_171.qasm,1215,620,217,188,0.14250200000000035
4gt4-v0_78.qasm,1097,622,196,192,0.12490199999999874
4gt12-v0_87.qasm,1150,654,205,203,0.1270220000000002
4gt4-v0_72.qasm,1272,721,228,223,0.11975799999999914
4gt12-v0_86.qasm,1165,662,208,206,0.12832000000000043
4gt4-v1_74.qasm,1311,722,233,219,0.12627099999999913
ising_model_13.qasm,826,108,120,20,0.3848540000000007
pf1_20_before.qasm,1206,782,206,182,0.22201700000000102
pf1_20_after.qasm,1179,754,204,180,0.17956400000000095
pf2_10_before.qasm,1049,663,174,144,0.16620499999999971
sym6_316.qasm,1528,753,277,229,0.13533600000000057
rd53_311.qasm,1542,810,279,247,0.13624800000000015
mini-alu_167.qasm,1481,846,265,254,0.13020500000000013
one-two-three-v0_97.qasm,1429,751,255,226,0.18617599999999968
rd53_135.qasm,1562,838,282,252,0.13812700000000255
sym9_146.qasm,1880,790,344,245,0.16622399999999793
decod24-enable_126.qasm,1687,911,302,271,0.20268899999999945
ham7_104.qasm,1724,901,305,275,0.25582999999999956
