Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,60,48,34,32,0.552908
H2_cmplt_BK_sto3g.qasm,66,51,32,32,0.4397290000000007
H2_cmplt_JW_sto3g.qasm,96,64,41,39,0.6755659999999999
H2_cmplt_BK_631g.qasm,871,666,499,487,8.861089999999999
H2_cmplt_P_631g.qasm,907,724,559,552,7.2183199999999985
H2_cmplt_JW_631g.qasm,1010,750,544,527,9.886479000000001
H4_cmplt_P_sto3g.qasm,1761,1385,1088,1057,17.587331999999996
H4_cmplt_BK_sto3g.qasm,1786,1415,1083,1067,13.426166999999992
H4_cmplt_JW_sto3g.qasm,1930,1377,1021,963,17.117880999999997
LiH_frz_BK_sto3g.qasm,1812,1484,1161,1157,17.220488000000017
LiH_frz_P_sto3g.qasm,1816,1464,1161,1151,17.44663
LiH_frz_JW_sto3g.qasm,1940,1490,1126,1095,18.26333200000002
NH_frz_P_sto3g.qasm,4512,3625,2905,2863,43.52613999999997
NH_frz_JW_sto3g.qasm,4791,3488,2698,2542,44.30392400000002
NH_frz_BK_sto3g.qasm,5169,4187,3350,3339,50.07867500000003
