Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,140,100,34,32,1.151381015777588
H2_cmplt_BK_sto3g.qasm,150,104,31,31,1.0677309036254883
H2_cmplt_JW_sto3g.qasm,181,124,39,38,1.6157240867614746
H2_cmplt_BK_631g.qasm,2104,1533,504,493,27.43776512145996
H2_cmplt_P_631g.qasm,2286,1688,554,547,33.15309405326843
H2_cmplt_JW_631g.qasm,2447,1739,574,557,36.27868914604187
H4_cmplt_P_sto3g.qasm,4427,3229,1083,1053,57.90199112892151
H4_cmplt_BK_sto3g.qasm,4417,3245,1077,1056,59.117560148239136
H4_cmplt_JW_sto3g.qasm,4550,3159,1071,1012,59.6378390789032
LiH_frz_BK_sto3g.qasm,4831,3640,1183,1178,72.35984420776367
LiH_frz_P_sto3g.qasm,4877,3642,1194,1184,71.99818086624146
LiH_frz_JW_sto3g.qasm,5237,3789,1253,1222,74.4618661403656
NH_frz_P_sto3g.qasm,12040,9123,3011,2969,176.28445601463318
NH_frz_JW_sto3g.qasm,12353,8773,2981,2817,175.6158390045166
NH_frz_BK_sto3g.qasm,14259,10866,3543,3523,219.95559072494507
