Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,814,392,91,81,5.7071311473846436
H2_cmplt_BK_sto3g.qasm,613,325,71,69,4.860971927642822
H2_cmplt_JW_sto3g.qasm,203,134,41,39,4.260185718536377
H2_cmplt_BK_631g.qasm,7872,3914,1020,904,68.8350338935852
H2_cmplt_P_631g.qasm,8984,4413,1158,994,76.28546905517578
H2_cmplt_JW_631g.qasm,7426,3947,1034,938,74.27753686904907
H4_cmplt_P_sto3g.qasm,15757,7859,2116,1820,156.08538484573364
H4_cmplt_BK_sto3g.qasm,17247,8504,2226,1953,168.71291327476501
H4_cmplt_JW_sto3g.qasm,13784,7124,1932,1695,143.1166296005249
LiH_frz_BK_sto3g.qasm,21686,10803,2698,2430,212.18262195587158
LiH_frz_P_sto3g.qasm,21553,10389,2711,2336,199.7639663219452
LiH_frz_JW_sto3g.qasm,13195,7414,1979,1873,154.84586429595947
NH_frz_P_sto3g.qasm,53302,24768,6661,5456,484.57671189308167
NH_frz_JW_sto3g.qasm,39966,21521,5416,5085,464.18183398246765
NH_frz_BK_sto3g.qasm,54307,28834,7151,6709,641.0228307247162
