Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,453.0,253.0,63.0,60.0,4.730002164840698
H2_cmplt_BK_sto3g.qasm,207.0,123.0,38.0,35.0,4.251390218734741
H2_cmplt_JW_sto3g.qasm,186.0,131.0,42.0,40.0,4.842091083526611
H2_cmplt_BK_631g.qasm,7233.0,3429.0,961.0,802.0,69.20584082603455
H2_cmplt_P_631g.qasm,7280.0,3465.0,999.0,836.0,72.41124606132507
H2_cmplt_JW_631g.qasm,4144.0,2333.0,728.0,656.0,63.30781698226929
H4_cmplt_P_sto3g.qasm,17706.0,8696.0,2259.0,1967.0,171.85633277893066
H4_cmplt_BK_sto3g.qasm,15841.0,8074.0,2098.0,1869.0,158.73875999450684
H4_cmplt_JW_sto3g.qasm,9123.0,5360.0,1489.0,1411.0,128.43662881851196
LiH_frz_BK_sto3g.qasm,20794.0,9856.0,2593.0,2235.0,212.7139391899109
LiH_frz_P_sto3g.qasm,17351.0,8689.0,2302.0,2031.0,189.0096390247345
LiH_frz_JW_sto3g.qasm,12390.0,6839.0,1918.0,1752.0,171.51161289215088
NH_frz_P_sto3g.qasm,48488.0,23328.0,6237.0,5330.0,593.530590057373
NH_frz_JW_sto3g.qasm,,,,,
NH_frz_BK_sto3g.qasm,,,,,
