Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,351,184,43,33,0.14066699999999965
H2_cmplt_BK_sto3g.qasm,338,238,40,38,0.13045699999999982
H2_cmplt_JW_sto3g.qasm,264,170,28,26,0.23059699999999994
H2_cmplt_BK_631g.qasm,6174,2957,801,584,3.9738390000000017
H2_cmplt_P_631g.qasm,7278,3808,963,767,4.823661000000001
H2_cmplt_JW_631g.qasm,5940,3048,773,606,3.990037000000001
H4_cmplt_P_sto3g.qasm,13700,7098,1820,1436,8.891446999999996
H4_cmplt_BK_sto3g.qasm,15224,7187,2027,1497,8.873874
H4_cmplt_JW_sto3g.qasm,10792,5639,1396,1116,7.536889000000002
LiH_frz_BK_sto3g.qasm,12808,6728,1694,1407,12.197214000000002
LiH_frz_P_sto3g.qasm,13273,7183,1755,1464,13.543013000000016
LiH_frz_JW_sto3g.qasm,11522,5875,1516,1194,13.560891999999996
NH_frz_P_sto3g.qasm,38530,19646,5181,4088,32.87529699999999
NH_frz_JW_sto3g.qasm,19954,11108,2524,2086,30.472027999999995
NH_frz_BK_sto3g.qasm,34296,18403,4545,3885,34.355593999999996
