Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,52,34,24,18,0.15302099999999985
H2_cmplt_BK_sto3g.qasm,53,39,25,23,0.12619999999999987
H2_cmplt_JW_sto3g.qasm,60,41,24,22,0.25141000000000036
H2_cmplt_BK_631g.qasm,668,473,347,276,4.140511999999999
H2_cmplt_P_631g.qasm,695,518,378,309,4.620145999999998
H2_cmplt_JW_631g.qasm,650,506,349,324,4.033069000000001
H4_cmplt_P_sto3g.qasm,1339,1016,780,636,8.989981
H4_cmplt_BK_sto3g.qasm,1373,1042,773,621,8.584069
H4_cmplt_JW_sto3g.qasm,1240,958,674,613,7.279412000000001
LiH_frz_BK_sto3g.qasm,1319,1048,755,668,11.620579999999997
LiH_frz_P_sto3g.qasm,1351,1043,768,646,11.964155999999988
LiH_frz_JW_sto3g.qasm,1232,986,708,663,12.781608000000006
NH_frz_P_sto3g.qasm,3389,2702,2041,1741,28.445615000000004
NH_frz_JW_sto3g.qasm,3035,2395,1750,1595,31.784050000000008
NH_frz_BK_sto3g.qasm,3659,3074,2111,1971,36.66796400000001
