Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,379,229,47,45,0.0911970000000002
H2_cmplt_BK_sto3g.qasm,396,233,49,46,0.08814600000000006
H2_cmplt_JW_sto3g.qasm,412,253,45,43,0.13065000000000104
H2_cmplt_BK_631g.qasm,6864,3905,893,841,1.8576389999999998
H2_cmplt_P_631g.qasm,6859,3853,886,825,1.9235940000000014
H2_cmplt_JW_631g.qasm,5642,3391,700,680,2.2465110000000017
H4_cmplt_P_sto3g.qasm,14428,8051,1892,1746,3.586690000000001
H4_cmplt_BK_sto3g.qasm,14705,7764,1928,1665,4.080870999999995
H4_cmplt_JW_sto3g.qasm,10298,5994,1263,1180,4.098645000000005
LiH_frz_BK_sto3g.qasm,18381,9446,2469,2072,5.628667999999998
LiH_frz_P_sto3g.qasm,16349,8935,2168,1980,5.949620999999986
LiH_frz_JW_sto3g.qasm,11285,6760,1426,1390,8.932737000000003
NH_frz_P_sto3g.qasm,37023,20281,4891,4452,11.397873000000004
NH_frz_JW_sto3g.qasm,27919,16307,3515,3324,13.487149000000016
NH_frz_BK_sto3g.qasm,45576,25054,6051,5474,17.676968000000016
