Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
H2_cmplt_P_sto3g.qasm,277.0,180.0,47.0,45.0,0.08919799999999967
H2_cmplt_BK_sto3g.qasm,290.0,174.0,49.0,46.0,0.10321699999999989
H2_cmplt_JW_sto3g.qasm,300.0,190.0,45.0,43.0,0.14842200000000005
H2_cmplt_BK_631g.qasm,,,,,
H2_cmplt_P_631g.qasm,4680.0,2824.0,830.0,778.0,1.9647570000000005
H2_cmplt_JW_631g.qasm,,,,,
H4_cmplt_P_sto3g.qasm,,,,,
H4_cmplt_BK_sto3g.qasm,,,,,
H4_cmplt_JW_sto3g.qasm,,,,,
LiH_frz_BK_sto3g.qasm,10051.0,5955.0,1831.0,1684.0,5.204736000000004
LiH_frz_P_sto3g.qasm,9174.0,5531.0,1645.0,1555.0,5.8989270000000005
LiH_frz_JW_sto3g.qasm,7371.0,4443.0,1260.0,1165.0,8.610723000000007
NH_frz_P_sto3g.qasm,23281.0,14053.0,4202.0,3962.0,10.985292000000001
NH_frz_JW_sto3g.qasm,18027.0,11177.0,3058.0,2908.0,13.294997999999993
NH_frz_BK_sto3g.qasm,29925.0,17549.0,5456.0,4992.0,17.129279000000025
