Circuit Name,Active Spin Orbitals,Naive CX Count,Naive CX Depth,Pairwise CX Count,Pairwise CX Depth,Set CX Count,Set CX Depth,Set Compile Time
H2_JW_sto3g,4,64,64,64,64,30,29,0.036436
H2_JW_631g,8,688,679,688,679,198,195,0.422596
H4_JW_sto3g,8,1312,1206,1312,1206,393,289,0.167727
LiH_JW_sto3g,12,6976,6724,6976,6724,1559,1191,0.708574
NH_JW_sto3g,12,6976,6737,6976,6737,1525,1152,2.324929
CH2_JW_sto3g,14,18208,17193,18208,17193,4052,2897,1.548949
H2O_JW_sto3g,14,12240,11973,12240,11973,2649,2123,1.430018
H4_JW_631g,16,19552,19080,19552,19080,3646,2879,3.377869
H8_JW_sto3g,16,36480,33496,36480,33496,7946,5266,3.729424
NH3_JW_sto3g,16,31760,30095,31760,30095,7343,5372,3.769202
N2_JW_sto3g,20,75040,72442,75040,72442,15326,11802,8.281617
HNO_JW_sto3g,22,106304,101997,106304,101997,18636,13852,13.717546
LiH_JW_631g,22,56976,55799,56976,55799,9673,8129,5.212135
NH_JW_631g,22,147616,141251,147616,141251,34459,25127,19.37789
H2CO_JW_sto3g,24,208128,199736,208128,199736,34540,25258,30.562162
CH2_JW_631g,26,282720,272647,282720,272647,54956,41197,75.171289
H2O_JW_631g,26,352960,333792,352960,333792,66428,46357,109.638119
C2H4_JW_sto3g,28,546688,510631,546688,510631,98440,64818,184.788776
CO2_JW_sto3g,30,479776,466215,479776,466215,80824,62200,161.645982
