Circuit Name,Active Spin Orbitals,Naive CX Count,Naive CX Depth,Pairwise CX Count,Pairwise CX Depth,Set CX Count,Set CX Depth,Set Compile Time
H4_P_sto3g,8,852,802,544,442,268,224,0.09145
CH2_P_sto3g,14,19806,18416,12016,8464,6521,4967,1.695615
H2_P_sto3g,4,4,4,4,4,4,4,0.024857
CO2_P_sto3g,30,394902,372025,234484,126001,117276,77555,67.674384
H4_P_631g,16,30632,28139,18430,12076,8234,6334,3.44699
H8_P_sto3g,16,61160,56473,36714,23974,16820,13043,6.433628
CH2_P_631g,26,427930,401071,255308,140858,121683,84913,58.568891
N2_P_sto3g,20,37772,34547,22238,14158,12044,8673,3.679017
C2H4_P_sto3g,28,495996,471837,291524,159960,132789,96781,86.953492
NH_P_631g,22,101030,94443,60492,36244,33007,22527,14.52182
LiH_P_sto3g,12,4956,4535,2970,2316,1929,1424,1.059989
HNO_P_sto3g,22,173142,161162,104318,62596,55853,38566,33.15364
H2_P_631g,8,836,794,530,432,264,215,0.361397
NH3_P_sto3g,16,61160,56473,36714,23974,16820,13043,11.77452
H2CO_P_sto3g,24,245296,229793,148124,86385,78947,54216,37.757162
NH_P_sto3g,12,4956,4535,2970,2316,1929,1424,1.247299
LiH_P_631g,22,127438,119510,77094,46582,42286,29767,18.698632
H2O_P_sto3g,14,10054,9337,6058,4374,3567,2653,1.440869
H2O_P_631g,26,215882,201701,129560,72433,66997,45403,33.128269
