Circuit Name,Active Spin Orbitals,Naive CX Count,Naive CX Depth,Pairwise CX Count,Pairwise CX Depth,Set CX Count,Set CX Depth,Set Compile Time
H2_JW_sto3g,4,64,64,32,32,30,29,0.04253
H2_JW_631g,8,688,679,344,300,198,195,0.244177
H4_JW_sto3g,8,1312,1206,656,520,393,289,0.112844
LiH_JW_sto3g,12,6976,6724,3488,2521,1559,1191,0.53301
NH_JW_sto3g,12,6976,6737,3488,2523,1525,1152,0.547765
BeH2_JW_sto3g,14,18208,17202,9104,6013,4285,3147,1.53035
CH2_JW_sto3g,14,18208,17193,9104,6075,4052,2897,1.605007
H2O_JW_sto3g,14,12240,11973,6120,4205,2649,2123,1.215838
H4_JW_631g,16,19552,19080,9776,6337,3646,2879,1.686433
H8_JW_sto3g,16,36480,33496,18240,11016,7946,5266,3.838688
NH3_JW_sto3g,16,31760,30095,15920,9964,7343,5372,2.994806
C2_JW_sto3g,20,99776,94442,50064,28306,22586,15909,12.243987
HCl_JW_sto3g,20,11136,11136,5568,3240,2206,2164,1.096491
N2_JW_sto3g,20,75040,72442,37658,21629,15326,11802,11.381051
HNO_JW_sto3g,22,106304,101997,53152,28508,18636,13852,13.358865
LiH_JW_631g,22,56976,55799,28496,15838,9673,8129,5.034714
NH_JW_631g,22,147616,141251,75596,42263,34459,25127,20.860459
H2CO_JW_sto3g,24,208128,199736,104064,54101,34540,25258,28.802241
BeH2_JW_631g,26,191920,185809,96272,48424,34468,27296,29.479627
CH2_JW_631g,26,282720,272647,142808,72203,54956,41197,47.851154
H2O_JW_631g,26,352960,333792,176480,86167,66428,46357,100.118659
C2H4_JW_sto3g,28,546688,510631,273344,126685,98440,64818,182.056165
CO2_JW_sto3g,30,479776,466215,240462,111052,80824,62200,115.163821
HCl_JW_631g,30,737136,698237,369710,166812,137913,91820,217.69785
