Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,56.0,27.0,21.0,15.0,0.49378100000000025
graycode6_47.qasm,64.0,29.0,24.0,15.0,0.5066119999999996
4gt11_84.qasm,50.0,31.0,18.0,17.0,0.39491299999999985
ex-1_166.qasm,63.0,42.0,23.0,23.0,0.5312270000000003
4mod5-v0_20.qasm,58.0,35.0,20.0,18.0,0.49463299999999943
4mod5-v1_22.qasm,70.0,37.0,23.0,19.0,0.5039220000000011
ham3_102.qasm,72.0,48.0,25.0,25.0,0.5155640000000004
mod5d1_63.qasm,85.0,47.0,33.0,26.0,0.6369469999999993
4gt11_83.qasm,105.0,58.0,38.0,32.0,0.801321999999999
4mod5-v1_24.qasm,98.0,60.0,37.0,34.0,0.717606
rd32-v1_68.qasm,83.0,51.0,28.0,27.0,0.6696679999999997
mod5mils_65.qasm,113.0,69.0,40.0,38.0,0.8279690000000013
4mod5-v0_19.qasm,157.0,79.0,59.0,45.0,1.4210600000000007
rd32-v0_66.qasm,94.0,61.0,32.0,32.0,0.7717139999999993
alu-v0_27.qasm,163.0,74.0,59.0,39.0,1.0882850000000008
alu-v1_29.qasm,155.0,82.0,59.0,46.0,1.011213999999999
alu-v2_33.qasm,159.0,82.0,59.0,46.0,1.0886929999999992
3_17_13.qasm,112.0,74.0,41.0,41.0,0.7861750000000001
alu-v1_28.qasm,160.0,82.0,59.0,45.0,1.3890639999999976
alu-v3_35.qasm,162.0,91.0,61.0,50.0,1.0680230000000002
alu-v4_37.qasm,196.0,100.0,74.0,55.0,1.681915
4gt11_82.qasm,141.0,69.0,53.0,37.0,1.1567060000000033
decod24-v2_43.qasm,161.0,95.0,56.0,51.0,1.2267449999999975
miller_11.qasm,144.0,95.0,50.0,50.0,1.1245859999999972
decod24-v0_38.qasm,176.0,102.0,60.0,53.0,1.530225999999999
alu-v3_34.qasm,212.0,114.0,79.0,63.0,1.6818570000000008
mod5d2_64.qasm,207.0,115.0,73.0,60.0,1.4323039999999985
4gt13_92.qasm,317.0,160.0,116.0,89.0,2.224678000000001
4gt13-v1_93.qasm,243.0,134.0,87.0,73.0,1.6393190000000004
4mod5-bdd_287.qasm,269.0,151.0,98.0,83.0,2.55530499999999
4mod5-v0_18.qasm,265.0,145.0,97.0,79.0,1.9456459999999964
one-two-three-v2_100.qasm,261.0,141.0,95.0,76.0,1.9070520000000002
one-two-three-v3_101.qasm,278.0,145.0,101.0,78.0,2.2696169999999967
4mod5-v1_23.qasm,278.0,146.0,104.0,81.0,2.2730010000000007
decod24-bdd_294.qasm,225.0,131.0,81.0,72.0,1.5541690000000017
rd32_270.qasm,287.0,159.0,103.0,86.0,1.9275260000000003
4gt5_75.qasm,284.0,157.0,106.0,88.0,1.9191799999999972
alu-v0_26.qasm,245.0,145.0,86.0,79.0,1.7350309999999993
decod24-v1_41.qasm,306.0,180.0,113.0,101.0,2.060443999999997
alu-bdd_288.qasm,310.0,164.0,116.0,90.0,2.621996000000003
4gt5_76.qasm,285.0,166.0,105.0,91.0,2.9382969999999986
4gt13_91.qasm,381.0,224.0,140.0,123.0,2.5876289999999926
alu-v4_36.qasm,379.0,212.0,139.0,115.0,2.572675999999987
4gt13_90.qasm,462.0,244.0,172.0,135.0,3.8314440000000047
4gt5_77.qasm,547.0,278.0,201.0,150.0,3.5023829999999947
one-two-three-v1_99.qasm,502.0,263.0,184.0,143.0,4.201638000000003
rd53_138.qasm,483.0,211.0,176.0,114.0,3.035749999999993
pf1_10_before.qasm,594.0,246.0,224.0,129.0,3.856495999999993
decod24-v3_45.qasm,534.0,288.0,191.0,154.0,4.452114999999992
one-two-three-v0_98.qasm,477.0,277.0,174.0,150.0,3.3769710000000117
4gt10-v1_81.qasm,515.0,279.0,191.0,154.0,3.7576110000000114
aj-e11_165.qasm,569.0,287.0,209.0,157.0,5.326099999999997
alu-v2_32.qasm,543.0,298.0,195.0,162.0,3.644303000000008
4mod7-v1_96.qasm,625.0,339.0,223.0,185.0,4.226639999999989
4mod7-v0_94.qasm,586.0,320.0,217.0,174.0,6.261026000000001
mini_alu_305.qasm,681.0,282.0,250.0,152.0,5.035192000000009
mod10_176.qasm,512.0,313.0,181.0,168.0,3.873685000000009
4gt4-v0_80.qasm,654.0,376.0,239.0,204.0,5.314592000000005
cnt3-5_179.qasm,733.0,261.0,275.0,146.0,7.066890999999998
4gt12-v0_88.qasm,640.0,370.0,234.0,199.0,5.659770999999978
ising_model_10.qasm,705.0,206.0,264.0,112.0,4.7430160000000114
qft_10.qasm,733.0,220.0,276.0,124.0,6.538254999999992
sys6-v0_111.qasm,814.0,339.0,296.0,188.0,6.832864999999998
4_49_16.qasm,844.0,445.0,309.0,243.0,7.541392999999999
4gt12-v1_89.qasm,810.0,443.0,291.0,237.0,7.313652000000019
rd73_140.qasm,867.0,379.0,319.0,209.0,5.507501999999988
0410184_169.qasm,933.0,388.0,349.0,212.0,8.08512300000001
4gt4-v0_79.qasm,829.0,455.0,299.0,246.0,7.6483029999999985
hwb4_49.qasm,816.0,454.0,291.0,243.0,7.672035000000022
mod10_171.qasm,975.0,513.0,353.0,278.0,6.667148000000026
4gt4-v0_78.qasm,861.0,473.0,316.0,256.0,7.615396000000004
4gt12-v0_87.qasm,861.0,462.0,316.0,252.0,7.378005000000002
4gt4-v0_72.qasm,934.0,463.0,341.0,251.0,8.057345999999995
4gt12-v0_86.qasm,912.0,475.0,332.0,256.0,7.887530000000027
4gt4-v1_74.qasm,942.0,524.0,344.0,288.0,8.302864999999997
ising_model_13.qasm,1221.0,285.0,463.0,157.0,7.6952459999999405
pf1_20_before.qasm,,,,,
pf1_20_after.qasm,,,,,
pf2_10_before.qasm,813.0,396.0,320.0,215.0,6.1607270000000085
sym6_316.qasm,1373.0,569.0,511.0,310.0,12.37866299999996
rd53_311.qasm,1108.0,481.0,418.0,268.0,10.781697000000008
mini-alu_167.qasm,1013.0,543.0,372.0,298.0,11.437364000000002
one-two-three-v0_97.qasm,1118.0,611.0,410.0,334.0,14.751815999999963
rd53_135.qasm,1131.0,577.0,409.0,310.0,9.986159999999984
sym9_146.qasm,1333.0,503.0,494.0,271.0,10.793651999999952
decod24-enable_126.qasm,1210.0,664.0,437.0,356.0,10.443599000000063
ham7_104.qasm,1300.0,680.0,479.0,373.0,10.88331199999999
ising_model_16.qasm,586.0,130.0,224.0,67.0,3.9368920000000003
mod8-10_178.qasm,1331.0,708.0,487.0,386.0,11.813087000000053
rd84_142.qasm,1433.0,505.0,530.0,279.0,12.952526000000034
ex3_229.qasm,1502.0,775.0,548.0,426.0,14.245726999999988
4gt4-v0_73.qasm,1523.0,831.0,562.0,451.0,13.597569000000021
pf1_30_after.qasm,,,,,
pf1_30_before.qasm,,,,,
mod8-10_177.qasm,1760.0,942.0,642.0,508.0,15.00207400000005
