Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,25,14,17,11,0.47207100000000013
graycode6_47.qasm,33,18,22,15,0.3910580000000001
4gt11_84.qasm,39,27,20,19,0.5509950000000003
ex-1_166.qasm,38,27,18,18,0.42135000000000034
4mod5-v0_20.qasm,37,27,21,20,0.4909219999999994
4mod5-v1_22.qasm,54,31,27,23,0.6875600000000004
ham3_102.qasm,45,31,21,21,0.599431
mod5d1_63.qasm,64,40,35,28,0.9464120000000005
4gt11_83.qasm,64,40,39,30,0.9284630000000007
4mod5-v1_24.qasm,61,44,34,32,0.8437500000000018
rd32-v1_68.qasm,70,47,34,32,1.072045000000001
mod5mils_65.qasm,90,62,44,42,1.1621539999999992
4mod5-v0_19.qasm,83,55,42,38,0.999072
rd32-v0_66.qasm,60,41,31,29,0.7823440000000002
alu-v0_27.qasm,88,61,54,46,1.0692059999999994
alu-v1_29.qasm,98,60,47,38,1.1173629999999992
alu-v2_33.qasm,97,64,68,55,0.9005110000000016
3_17_13.qasm,81,59,39,39,1.012559000000003
alu-v1_28.qasm,95,59,61,46,1.134214
alu-v3_35.qasm,103,65,58,47,1.1123740000000026
alu-v4_37.qasm,94,61,61,48,1.143895999999998
4gt11_82.qasm,84,54,48,41,0.975126999999997
decod24-v2_43.qasm,120,78,60,53,1.3720309999999962
miller_11.qasm,98,71,50,50,1.4150990000000014
decod24-v0_38.qasm,116,74,54,49,1.331907000000001
alu-v3_34.qasm,124,86,73,65,1.6954100000000025
mod5d2_64.qasm,132,88,77,69,1.5540899999999986
4gt13_92.qasm,177,111,113,88,1.7205780000000033
4gt13-v1_93.qasm,144,96,89,75,1.7215679999999978
4mod5-bdd_287.qasm,178,115,101,85,1.9434850000000026
4mod5-v0_18.qasm,147,99,81,72,1.787142000000003
one-two-three-v2_100.qasm,171,101,96,74,1.9891189999999952
one-two-three-v3_101.qasm,161,100,90,76,2.304337000000004
4mod5-v1_23.qasm,172,108,94,77,2.5130630000000025
decod24-bdd_294.qasm,178,115,88,77,2.554065999999999
rd32_270.qasm,182,117,97,84,2.7781340000000014
4gt5_75.qasm,217,131,113,89,2.2966580000000008
alu-v0_26.qasm,215,129,121,93,2.3897269999999935
decod24-v1_41.qasm,217,142,119,102,2.7862539999999996
alu-bdd_288.qasm,234,146,140,109,2.7365410000000026
4gt5_76.qasm,205,123,119,97,3.319351999999995
4gt13_91.qasm,259,161,126,110,3.7763840000000073
alu-v4_36.qasm,270,169,153,124,4.102943999999994
4gt13_90.qasm,279,177,146,122,3.2472250000000003
4gt5_77.qasm,312,193,155,130,3.407400999999993
one-two-three-v1_99.qasm,333,209,184,149,3.715055000000021
rd53_138.qasm,369,174,239,134,5.795521999999991
pf1_10_before.qasm,380,205,243,141,6.479043000000004
decod24-v3_45.qasm,331,213,195,161,5.825626999999997
one-two-three-v0_98.qasm,379,232,214,166,4.941034999999999
4gt10-v1_81.qasm,343,221,189,164,5.255096000000009
aj-e11_165.qasm,341,218,164,146,4.872944999999987
alu-v2_32.qasm,395,246,225,187,4.787843000000009
4mod7-v1_96.qasm,382,236,197,167,6.996969999999976
4mod7-v0_94.qasm,371,234,214,179,5.327804999999984
mini_alu_305.qasm,530,243,321,185,6.0779810000000225
mod10_176.qasm,400,251,231,190,4.1229829999999765
4gt4-v0_80.qasm,460,279,252,193,6.4147940000000006
cnt3-5_179.qasm,553,214,318,160,6.426796000000024
4gt12-v0_88.qasm,507,308,277,219,5.652509000000009
ising_model_10.qasm,308,69,165,49,4.047550000000001
qft_10.qasm,471,175,287,132,5.892828000000009
sys6-v0_111.qasm,805,314,479,231,9.10962299999997
4_49_16.qasm,511,336,259,232,7.079324000000014
4gt12-v1_89.qasm,597,350,334,253,7.1128900000000215
rd73_140.qasm,609,273,358,198,6.699974000000026
0410184_169.qasm,566,286,337,215,6.449015000000003
4gt4-v0_79.qasm,501,321,268,229,6.911652000000004
hwb4_49.qasm,508,334,283,246,8.653879999999987
mod10_171.qasm,562,344,295,247,8.469756999999987
4gt4-v0_78.qasm,606,384,348,286,6.6344299999999805
4gt12-v0_87.qasm,651,378,393,287,6.632751999999982
4gt4-v0_72.qasm,721,390,376,273,7.036607000000004
4gt12-v0_86.qasm,606,369,333,263,7.626711
4gt4-v1_74.qasm,635,412,328,285,7.260263000000009
ising_model_13.qasm,687,166,464,151,6.238642000000027
pf1_20_before.qasm,761,432,495,304,9.681704000000025
pf1_20_after.qasm,769,422,487,288,7.696095000000014
pf2_10_before.qasm,636,361,393,242,8.382564000000002
sym6_316.qasm,956,456,569,330,8.804254000000014
rd53_311.qasm,849,414,517,307,8.215526999999952
mini-alu_167.qasm,690,438,378,318,7.955650000000048
one-two-three-v0_97.qasm,634,418,365,315,7.032090000000039
rd53_135.qasm,720,433,433,338,10.507850000000019
sym9_146.qasm,1190,495,688,365,11.791567999999984
decod24-enable_126.qasm,803,515,459,379,9.147493999999995
ham7_104.qasm,779,497,452,374,9.246449999999982
ising_model_16.qasm,1114,271,817,252,12.254999000000055
mod8-10_178.qasm,867,532,468,372,7.661643000000026
rd84_142.qasm,908,371,472,253,10.52904200000006
ex3_229.qasm,977,603,553,442,9.015187999999966
4gt4-v0_73.qasm,947,579,503,413,13.295096000000058
pf1_30_after.qasm,1346,723,938,532,15.000581000000011
pf1_30_before.qasm,1232,687,838,501,16.771037000000035
mod8-10_177.qasm,1071,683,583,491,12.24104600000004
alu-v2_31.qasm,1055,662,569,472,12.254521000000011
rd53_131.qasm,1131,698,631,498,13.624908000000005
C17_204.qasm,1330,757,812,567,16.722531000000004
cnt3-5_180.qasm,1370,673,778,492,14.613526999999976
alu-v2_30.qasm,1212,747,668,542,13.614454000000023
mod5adder_127.qasm,1279,793,700,569,15.007204000000002
qft_16.qasm,1456,427,899,342,13.689554999999928
pf1_40_before.qasm,1934,1035,1370,769,22.196670999999924
pf2_20_before.qasm,1346,777,904,558,17.97207299999991
pf1_40_after.qasm,1846,976,1284,714,18.12030799999991
rd53_133.qasm,1369,842,772,613,19.69003900000007
pf2_10_after.qasm,1090,633,710,467,13.402333999999996
majority_239.qasm,1581,960,921,700,18.67395799999997
ex2_227.qasm,1702,1008,987,720,18.024010999999973
cm82a_208.qasm,1805,1010,1007,706,17.939440999999988
pf1_50_before.qasm,2370,1287,1683,966,28.14985200000001
pf1_50_after.qasm,2429,1296,1737,976,26.676394999999957
sf_274.qasm,1855,1154,1015,826,22.74349099999995
sf_276.qasm,1828,1184,1026,856,27.185907000000043
pf2_30_before.qasm,2378,1308,1624,940,35.926583999999934
con1_216.qasm,2681,1487,1585,1079,31.18332799999996
wim_266.qasm,2582,1438,1478,1048,31.289716000000112
rd53_130.qasm,2538,1504,1455,1103,33.95777099999998
pf2_40_before.qasm,3366,1843,2329,1339,43.949863999999934
pf2_20_after.qasm,2624,1344,1799,1026,30.910041000000092
f2_232.qasm,3097,1864,1740,1348,37.78383599999984
cm152a_212.qasm,3227,1932,1856,1398,38.457826999999725
rd53_251.qasm,3408,2012,1984,1459,44.05953900000031
hwb5_53.qasm,3311,2062,1883,1512,62.02186400000005
pf2_50_before.qasm,4334,2355,3143,1785,81.37585099999978
pf4_10_before.qasm,2400,1500,1622,1084,54.1934110000002
cm42a_207.qasm,4633,2697,2580,1924,75.48405200000002
pm1_249.qasm,4579,2651,2555,1881,63.83807700000011
pf2_30_after.qasm,4333,2192,2966,1655,43.23250299999995
dc1_220.qasm,4980,2967,2820,2125,52.30441199999996
squar5_261.qasm,5436,3022,3129,2169,54.64764800000012
pf2_40_after.qasm,6064,2985,4246,2306,59.06096599999978
pf4_20_before.qasm,4983,3080,3224,2157,76.24322600000028
pf4_10_after.qasm,4694,2662,2992,1928,52.54204200000004
pf2_50_after.qasm,7963,3870,5772,3035,78.17277599999989
sqrt8_260.qasm,8814,4994,5119,3516,89.26983000000018
z4_268.qasm,8550,4749,5054,3436,89.08752499999946
radd_250.qasm,8739,5073,5055,3632,116.97893400000021
adr4_197.qasm,9590,5336,5559,3798,135.17819999999983
sym6_145.qasm,10041,6072,5694,4362,149.30297199999995
pf4_30_before.qasm,8475,4568,5704,3338,203.1941740000002
misex1_241.qasm,12427,7459,7066,5356,182.88623099999995
rd73_252.qasm,14396,8213,8323,5861,214.03004899999996
pf4_20_after.qasm,10335,5087,7083,3918,158.82709599999998
cycle10_2_110.qasm,15990,9418,9106,6685,165.12822199999982
hwb6_56.qasm,17367,10449,9749,7477,179.97942800000055
square_root_7.qasm,19294,10833,11598,7900,201.1539559999992
pf4_30_after.qasm,14092,6782,9072,5096,221.09798599999885
ham15_107.qasm,23216,13658,13291,9795,262.5275849999998
dc2_222.qasm,26292,15265,15352,10926,270.5259479999995
