Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,74,32,27,17,0.7725780000000002
graycode6_47.qasm,52,20,19,11,0.4703689999999998
4gt11_84.qasm,68,38,25,20,0.7107759999999996
ex-1_166.qasm,60,40,23,22,0.6893909999999996
4mod5-v0_20.qasm,65,36,26,22,0.7267850000000005
4mod5-v1_22.qasm,78,42,30,24,0.7301220000000006
ham3_102.qasm,78,47,30,26,0.7511140000000003
mod5d1_63.qasm,99,54,39,30,0.9063999999999988
4gt11_83.qasm,80,47,29,25,0.869821
4mod5-v1_24.qasm,127,71,51,41,1.426502000000001
rd32-v1_68.qasm,98,59,35,32,1.062291
mod5mils_65.qasm,130,75,45,39,1.2612710000000007
4mod5-v0_19.qasm,123,78,46,43,1.1680220000000006
rd32-v0_66.qasm,93,55,32,28,1.2519390000000001
alu-v0_27.qasm,124,72,44,38,1.250246999999998
alu-v1_29.qasm,145,89,56,50,1.313047000000001
alu-v2_33.qasm,135,77,52,44,1.2721769999999992
3_17_13.qasm,121,69,46,38,1.2701039999999963
alu-v1_28.qasm,121,71,43,38,1.2470219999999976
alu-v3_35.qasm,138,86,53,48,1.2932250000000032
alu-v4_37.qasm,134,79,51,44,1.257679999999997
4gt11_82.qasm,127,77,51,45,1.1926729999999992
decod24-v2_43.qasm,169,105,61,56,1.616820999999998
miller_11.qasm,163,95,66,57,1.5885589999999965
decod24-v0_38.qasm,179,104,65,54,1.6979790000000001
alu-v3_34.qasm,206,122,77,68,1.9025300000000058
mod5d2_64.qasm,221,125,83,68,2.2083550000000045
4gt13_92.qasm,228,133,81,72,2.222766
4gt13-v1_93.qasm,196,106,72,58,1.9559679999999986
4mod5-bdd_287.qasm,228,136,82,74,2.2251989999999964
4mod5-v0_18.qasm,212,127,80,70,2.1120090000000005
one-two-three-v2_100.qasm,222,130,83,72,2.770350999999998
one-two-three-v3_101.qasm,216,130,79,69,2.281054999999995
4mod5-v1_23.qasm,222,136,82,75,2.196736999999999
decod24-bdd_294.qasm,224,130,81,71,2.5825180000000003
rd32_270.qasm,243,153,88,82,2.4101730000000003
4gt5_75.qasm,280,159,104,88,2.654161000000002
