Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,230.0,83.0,23.0,17.0,5.339086055755615
graycode6_47.qasm,31.0,17.0,5.0,5.0,4.120290040969849
4gt11_84.qasm,113.0,63.0,15.0,14.0,3.6550211906433105
ex-1_166.qasm,111.0,64.0,15.0,15.0,3.5090630054473877
4mod5-v0_20.qasm,96.0,56.0,15.0,14.0,3.4712371826171875
4mod5-v1_22.qasm,109.0,61.0,16.0,15.0,3.768599033355713
ham3_102.qasm,116.0,71.0,16.0,16.0,4.3861000537872314
mod5d1_63.qasm,159.0,84.0,21.0,19.0,5.730293035507202
4gt11_83.qasm,289.0,108.0,34.0,23.0,6.280465126037598
4mod5-v1_24.qasm,335.0,127.0,38.0,27.0,4.896113872528076
rd32-v1_68.qasm,231.0,121.0,28.0,27.0,4.972733974456787
mod5mils_65.qasm,377.0,179.0,39.0,37.0,5.470907926559448
4mod5-v0_19.qasm,386.0,173.0,41.0,38.0,2.872779130935669
rd32-v0_66.qasm,241.0,128.0,28.0,27.0,3.5982120037078857
alu-v0_27.qasm,255.0,131.0,33.0,31.0,4.172528266906738
alu-v1_29.qasm,323.0,169.0,37.0,35.0,4.348376274108887
alu-v2_33.qasm,254.0,130.0,32.0,30.0,4.527048826217651
3_17_13.qasm,218.0,125.0,29.0,29.0,3.4486641883850098
alu-v1_28.qasm,281.0,139.0,35.0,32.0,5.113845586776733
alu-v3_35.qasm,388.0,160.0,43.0,34.0,5.61008095741272
alu-v4_37.qasm,349.0,144.0,40.0,31.0,4.958606719970703
4gt11_82.qasm,311.0,128.0,39.0,31.0,4.857222080230713
decod24-v2_43.qasm,309.0,189.0,50.0,50.0,3.926798105239868
miller_11.qasm,288.0,172.0,42.0,42.0,3.451103925704956
decod24-v0_38.qasm,360.0,188.0,43.0,41.0,3.8453869819641113
alu-v3_34.qasm,556.0,215.0,60.0,47.0,6.181410074234009
mod5d2_64.qasm,426.0,228.0,53.0,52.0,5.692023754119873
4gt13_92.qasm,691.0,284.0,78.0,61.0,7.67666220664978
4gt13-v1_93.qasm,617.0,325.0,73.0,69.0,10.841937780380249
4mod5-bdd_287.qasm,798.0,302.0,96.0,74.0,6.084421157836914
4mod5-v0_18.qasm,757.0,322.0,84.0,69.0,7.522902011871338
one-two-three-v2_100.qasm,434.0,224.0,56.0,52.0,5.322155952453613
one-two-three-v3_101.qasm,555.0,293.0,68.0,65.0,6.538447141647339
4mod5-v1_23.qasm,682.0,282.0,76.0,62.0,6.241145849227905
decod24-bdd_294.qasm,665.0,276.0,77.0,62.0,6.417307138442993
rd32_270.qasm,801.0,347.0,88.0,72.0,7.739758014678955
4gt5_75.qasm,578.0,294.0,73.0,67.0,7.6530890464782715
alu-v0_26.qasm,599.0,285.0,75.0,66.0,7.172540187835693
decod24-v1_41.qasm,856.0,403.0,98.0,88.0,12.102710008621216
alu-bdd_288.qasm,877.0,329.0,93.0,69.0,10.432812929153442
4gt5_76.qasm,619.0,311.0,80.0,73.0,7.436858177185059
4gt13_91.qasm,772.0,380.0,96.0,86.0,5.733790874481201
alu-v4_36.qasm,1317.0,671.0,145.0,140.0,9.087268114089966
4gt13_90.qasm,896.0,453.0,111.0,99.0,6.615563154220581
4gt5_77.qasm,1202.0,554.0,139.0,120.0,9.135761976242065
one-two-three-v1_99.qasm,1521.0,695.0,180.0,154.0,8.750433921813965
