Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,69.0,45.0,9.0,9.0,0.01005900000000004
graycode6_47.qasm,35.0,23.0,5.0,5.0,0.004421999999999482
4gt11_84.qasm,96.0,51.0,12.0,11.0,0.011664999999999814
ex-1_166.qasm,117.0,69.0,14.0,14.0,0.02351700000000001
4mod5-v0_20.qasm,106.0,62.0,13.0,12.0,0.013287999999999744
4mod5-v1_22.qasm,88.0,51.0,11.0,10.0,0.018526000000000042
ham3_102.qasm,96.0,58.0,12.0,12.0,0.012110999999999983
mod5d1_63.qasm,187.0,109.0,25.0,23.0,0.013569999999999638
4gt11_83.qasm,152.0,84.0,20.0,20.0,0.014190000000000147
4mod5-v1_24.qasm,209.0,114.0,26.0,25.0,0.02560299999999982
rd32-v1_68.qasm,154.0,96.0,20.0,19.0,0.021178000000000363
mod5mils_65.qasm,246.0,125.0,32.0,27.0,0.019302999999999848
4mod5-v0_19.qasm,239.0,127.0,31.0,28.0,0.021368999999999527
rd32-v0_66.qasm,153.0,96.0,20.0,19.0,0.01930099999999957
alu-v0_27.qasm,276.0,147.0,36.0,34.0,0.02165600000000012
alu-v1_29.qasm,278.0,149.0,36.0,34.0,0.019694999999999574
alu-v2_33.qasm,244.0,128.0,31.0,29.0,0.01949999999999985
3_17_13.qasm,222.0,130.0,28.0,28.0,0.018892999999999827
alu-v1_28.qasm,283.0,145.0,37.0,34.0,0.02196599999999993
alu-v3_35.qasm,287.0,149.0,36.0,34.0,0.025275000000000603
alu-v4_37.qasm,287.0,149.0,36.0,34.0,0.026068000000000424
4gt11_82.qasm,159.0,83.0,21.0,19.0,0.022482000000000113
decod24-v2_43.qasm,274.0,151.0,34.0,34.0,0.038123999999999825
miller_11.qasm,319.0,180.0,38.0,38.0,0.04081899999999994
decod24-v0_38.qasm,320.0,162.0,40.0,36.0,0.0511740000000005
alu-v3_34.qasm,399.0,211.0,52.0,49.0,0.027706999999999482
mod5d2_64.qasm,343.0,201.0,45.0,45.0,0.025146999999999586
4gt13_92.qasm,441.0,231.0,57.0,50.0,0.03961400000000026
4gt13-v1_93.qasm,416.0,219.0,53.0,48.0,0.04530999999999974
4mod5-bdd_287.qasm,521.0,279.0,68.0,62.0,0.03741000000000039
4mod5-v0_18.qasm,415.0,227.0,54.0,50.0,0.03695300000000046
one-two-three-v2_100.qasm,413.0,213.0,52.0,47.0,0.04126399999999997
one-two-three-v3_101.qasm,473.0,251.0,60.0,56.0,0.0375829999999997
4mod5-v1_23.qasm,470.0,244.0,61.0,56.0,0.0347489999999997
decod24-bdd_294.qasm,461.0,229.0,59.0,52.0,0.03964899999999982
rd32_270.qasm,588.0,317.0,75.0,67.0,0.04654800000000048
4gt5_75.qasm,515.0,273.0,66.0,63.0,0.04588799999999971
alu-v0_26.qasm,566.0,290.0,74.0,67.0,0.04234099999999952
decod24-v1_41.qasm,581.0,310.0,74.0,66.0,0.07630099999999906
alu-bdd_288.qasm,610.0,301.0,80.0,69.0,0.055916999999999106
4gt5_76.qasm,553.0,280.0,72.0,65.0,0.0543660000000008
4gt13_91.qasm,651.0,361.0,85.0,83.0,0.06068300000000004
alu-v4_36.qasm,768.0,408.0,100.0,91.0,0.057357000000000546
4gt13_90.qasm,679.0,372.0,89.0,85.0,0.062082999999999444
4gt5_77.qasm,789.0,398.0,101.0,91.0,0.06926599999999983
one-two-three-v1_99.qasm,995.0,508.0,128.0,113.0,0.08995100000000011
rd53_138.qasm,944.0,372.0,124.0,83.0,0.07137200000000021
pf1_10_before.qasm,774.0,424.0,95.0,70.0,0.09588100000000033
decod24-v3_45.qasm,1057.0,567.0,137.0,123.0,0.07980199999999904
one-two-three-v0_98.qasm,1044.0,551.0,136.0,126.0,0.08812200000000114
4gt10-v1_81.qasm,1089.0,542.0,142.0,124.0,0.09131599999999995
aj-e11_165.qasm,1054.0,526.0,136.0,116.0,0.0736800000000013
alu-v2_32.qasm,1194.0,609.0,156.0,139.0,0.07703700000000069
4mod7-v1_96.qasm,1100.0,562.0,143.0,127.0,0.08787500000000037
4mod7-v0_94.qasm,1135.0,593.0,148.0,133.0,0.10787999999999975
mini_alu_305.qasm,1354.0,492.0,178.0,112.0,0.0841769999999995
mod10_176.qasm,1271.0,643.0,166.0,147.0,0.10180500000000059
4gt4-v0_80.qasm,1419.0,678.0,185.0,159.0,0.08772700000000011
cnt3-5_179.qasm,1446.0,486.0,190.0,108.0,0.19392500000000013
4gt12-v0_88.qasm,1432.0,726.0,187.0,170.0,0.10489100000000029
ising_model_10.qasm,830.0,142.0,90.0,20.0,0.21498599999999968
qft_10.qasm,0.0,0.0,0.0,0.0,0.007424000000000319
sys6-v0_111.qasm,1579.0,608.0,207.0,137.0,0.10707199999999872
4_49_16.qasm,1594.0,828.0,206.0,187.0,0.11555599999999977
4gt12-v1_89.qasm,1661.0,833.0,215.0,189.0,0.108096999999999
rd73_140.qasm,1621.0,697.0,213.0,160.0,0.1097539999999988
0410184_169.qasm,1749.0,713.0,226.0,161.0,0.143578999999999
4gt4-v0_79.qasm,1609.0,831.0,209.0,188.0,0.11913200000000046
hwb4_49.qasm,1639.0,876.0,210.0,195.0,0.12292599999999965
mod10_171.qasm,1673.0,836.0,217.0,188.0,0.12976299999999874
4gt4-v0_78.qasm,1689.0,869.0,222.0,198.0,0.12328000000000117
4gt12-v0_87.qasm,1732.0,854.0,227.0,200.0,0.1223989999999997
4gt4-v0_72.qasm,1774.0,870.0,232.0,199.0,0.1146919999999998
4gt12-v0_86.qasm,1809.0,881.0,238.0,205.0,0.12486499999999978
4gt4-v1_74.qasm,1816.0,970.0,235.0,219.0,0.11932400000000065
ising_model_13.qasm,1105.0,142.0,120.0,20.0,0.29635500000000015
pf1_20_before.qasm,,,,,
pf1_20_after.qasm,,,,,
pf2_10_before.qasm,1522.0,894.0,188.0,151.0,0.16537299999999888
sym6_316.qasm,2247.0,943.0,297.0,209.0,0.13505399999999845
rd53_311.qasm,2170.0,883.0,285.0,200.0,0.13762099999999933
mini-alu_167.qasm,2123.0,1093.0,277.0,252.0,0.13025900000000057
one-two-three-v0_97.qasm,2014.0,1000.0,262.0,232.0,0.13652899999999946
rd53_135.qasm,2281.0,1124.0,301.0,262.0,0.13809100000000107
sym9_146.qasm,2416.0,1037.0,318.0,237.0,0.17305999999999955
decod24-enable_126.qasm,2312.0,1208.0,301.0,277.0,0.15536300000000125
ham7_104.qasm,2587.0,1213.0,333.0,275.0,0.21895299999999907
ising_model_16.qasm,1376.0,142.0,150.0,20.0,0.3356129999999986
mod8-10_178.qasm,2629.0,1303.0,343.0,302.0,0.16543500000000044
rd84_142.qasm,2439.0,780.0,319.0,179.0,0.16296999999999962
ex3_229.qasm,2954.0,1450.0,381.0,333.0,0.1948769999999982
4gt4-v0_73.qasm,2721.0,1365.0,357.0,316.0,0.22251900000000013
pf1_30_after.qasm,,,,,
pf1_30_before.qasm,,,,,
mod8-10_177.qasm,3329.0,1688.0,437.0,395.0,0.22303600000000046
alu-v2_31.qasm,3125.0,1588.0,408.0,366.0,0.21847700000000003
rd53_131.qasm,3176.0,1571.0,403.0,352.0,0.3099199999999982
C17_204.qasm,3537.0,1782.0,466.0,405.0,0.2248390000000029
cnt3-5_180.qasm,3293.0,1340.0,426.0,301.0,0.2104379999999999
alu-v2_30.qasm,3853.0,1888.0,507.0,428.0,0.2770349999999979
mod5adder_127.qasm,4205.0,2099.0,542.0,471.0,0.27477700000000027
qft_16.qasm,0.0,0.0,0.0,0.0,0.019580000000001263
pf1_40_before.qasm,,,,,
pf2_20_before.qasm,,,,,
pf1_40_after.qasm,,,,,
rd53_133.qasm,4852.0,2372.0,648.0,559.0,0.35693500000000355
pf2_10_after.qasm,3181.0,1738.0,384.0,301.0,0.39067300000000316
majority_239.qasm,4576.0,2268.0,597.0,525.0,0.3475559999999973
ex2_227.qasm,5119.0,2501.0,672.0,577.0,0.3413029999999999
cm82a_208.qasm,4218.0,1932.0,544.0,438.0,0.3018370000000026
pf1_50_before.qasm,,,,,
pf1_50_after.qasm,,,,,
sf_274.qasm,5414.0,2588.0,678.0,580.0,0.43023200000000017
sf_276.qasm,5646.0,2891.0,726.0,659.0,0.4360199999999992
pf2_30_before.qasm,,,,,
con1_216.qasm,7164.0,3201.0,933.0,731.0,0.5703750000000021
wim_266.qasm,7254.0,3368.0,952.0,776.0,0.5330110000000019
rd53_130.qasm,7545.0,3655.0,975.0,837.0,0.5313540000000003
pf2_40_before.qasm,,,,,
pf2_20_after.qasm,,,,,
f2_232.qasm,8545.0,4217.0,1115.0,970.0,0.5901999999999994
