Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,11,9,9,9,0.014126999999999779
graycode6_47.qasm,5,5,5,5,0.012317999999999607
4gt11_84.qasm,20,15,12,11,0.01872600000000002
ex-1_166.qasm,25,19,14,14,0.023927999999999727
4mod5-v0_20.qasm,22,18,13,12,0.02075600000000044
4mod5-v1_22.qasm,20,15,11,10,0.02243200000000023
ham3_102.qasm,20,16,12,12,0.01700599999999941
mod5d1_63.qasm,33,27,25,23,0.017665000000000042
4gt11_83.qasm,28,23,20,20,0.018343999999999916
4mod5-v1_24.qasm,47,35,32,29,0.07306100000000004
rd32-v1_68.qasm,30,25,20,19,0.024208000000000673
mod5mils_65.qasm,48,34,32,27,0.023310999999999638
4mod5-v0_19.qasm,47,35,31,28,0.02104399999999984
rd32-v0_66.qasm,30,25,20,19,0.02289100000000044
alu-v0_27.qasm,52,40,36,34,0.022827999999999626
alu-v1_29.qasm,52,40,36,34,0.022841000000000555
alu-v2_33.qasm,48,36,31,29,0.02275300000000069
3_17_13.qasm,44,37,28,28,0.02326600000000134
alu-v1_28.qasm,53,41,37,34,0.024033000000000193
alu-v3_35.qasm,55,41,36,34,0.027438000000000073
alu-v4_37.qasm,55,41,36,34,0.030376999999999654
4gt11_82.qasm,29,23,21,19,0.02181199999999972
decod24-v2_43.qasm,56,44,34,34,0.033954999999999735
miller_11.qasm,63,49,38,38,0.03634600000000088
decod24-v0_38.qasm,60,47,36,36,0.04641800000000007
alu-v3_34.qasm,75,58,52,49,0.02772500000000022
mod5d2_64.qasm,67,56,45,45,0.02645600000000048
4gt13_92.qasm,84,62,54,46,0.08497500000000002
4gt13-v1_93.qasm,81,63,50,46,0.09029700000000052
4mod5-bdd_287.qasm,97,72,66,58,0.03417800000000071
4mod5-v0_18.qasm,84,68,55,54,0.0356260000000006
one-two-three-v2_100.qasm,83,59,52,47,0.03788899999999984
one-two-three-v3_101.qasm,93,69,60,56,0.035067000000000625
4mod5-v1_23.qasm,91,68,60,55,0.033042000000000016
decod24-bdd_294.qasm,95,74,63,59,0.038966000000001166
rd32_270.qasm,112,92,75,74,0.04051699999999947
4gt5_75.qasm,115,87,78,70,0.04407899999999998
alu-v0_26.qasm,110,81,74,67,0.03720600000000118
decod24-v1_41.qasm,112,87,71,64,0.10684100000000019
alu-bdd_288.qasm,121,82,83,63,0.0931779999999991
4gt5_76.qasm,109,80,72,65,0.05233199999999982
4gt13_91.qasm,129,106,85,83,0.05685799999999919
alu-v4_36.qasm,145,112,97,89,0.09406900000000018
4gt13_90.qasm,133,109,89,85,0.0590919999999997
4gt5_77.qasm,159,121,101,91,0.060912000000000965
one-two-three-v1_99.qasm,186,140,125,111,0.11487200000000009
rd53_138.qasm,174,102,122,85,0.058141
pf1_10_before.qasm,200,171,140,135,0.09582199999999919
decod24-v3_45.qasm,202,157,136,120,0.10869599999999924
one-two-three-v0_98.qasm,197,149,133,122,0.11527299999999929
4gt10-v1_81.qasm,202,144,137,119,0.11446800000000046
aj-e11_165.qasm,202,150,136,116,0.0658479999999999
alu-v2_32.qasm,230,166,156,139,0.06231400000000065
4mod7-v1_96.qasm,217,165,146,130,0.07210699999999992
4mod7-v0_94.qasm,210,158,139,125,0.13054400000000044
mini_alu_305.qasm,260,139,184,116,0.09230999999999945
mod10_176.qasm,246,177,167,146,0.12995800000000024
4gt4-v0_80.qasm,265,196,185,165,0.07492799999999988
cnt3-5_179.qasm,279,146,203,117,0.18164299999999933
4gt12-v0_88.qasm,266,189,179,153,0.084225
