Filename,Gate count,Depth,2qb gate count,2qb depth
xor5_254.qasm,7,5,5,5
ex1_226.qasm,7,5,5,5
graycode6_47.qasm,5,5,5,5
4gt11_84.qasm,18,11,9,8
ex-1_166.qasm,19,12,9,9
4mod5-v0_20.qasm,20,12,10,9
4mod5-v1_22.qasm,21,12,11,10
ham3_102.qasm,20,13,11,11
mod5d1_63.qasm,22,13,13,11
4gt11_83.qasm,23,16,14,14
4mod5-v1_24.qasm,36,21,16,15
rd32-v1_68.qasm,36,21,16,16
mod5mils_65.qasm,35,21,16,16
4mod5-v0_19.qasm,35,21,16,16
rd32-v0_66.qasm,34,20,16,16
alu-v0_27.qasm,36,21,17,15
alu-v1_29.qasm,37,22,17,15
alu-v2_33.qasm,37,22,17,15
3_17_13.qasm,36,22,17,17
alu-v1_28.qasm,37,22,18,16
alu-v3_35.qasm,37,22,18,16
alu-v4_37.qasm,37,22,18,16
4gt11_82.qasm,27,20,18,18
decod24-v2_43.qasm,52,30,22,22
miller_11.qasm,50,29,23,23
decod24-v0_38.qasm,51,30,23,23
alu-v3_34.qasm,52,30,24,23
mod5d2_64.qasm,53,32,25,25
4gt13_92.qasm,66,38,30,26
4gt13-v1_93.qasm,68,39,30,27
4mod5-bdd_287.qasm,70,41,31,31
4mod5-v0_18.qasm,69,40,31,31
one-two-three-v2_100.qasm,69,40,32,29
one-two-three-v3_101.qasm,70,40,32,29
4mod5-v1_23.qasm,69,41,32,30
decod24-bdd_294.qasm,73,40,32,31
rd32_270.qasm,84,47,36,35
4gt5_75.qasm,83,47,38,33
alu-v0_26.qasm,84,49,38,35
decod24-v1_41.qasm,85,50,38,35
alu-bdd_288.qasm,84,48,38,35
4gt5_76.qasm,91,56,46,42
4gt13_91.qasm,103,61,49,46
alu-v4_36.qasm,115,66,51,47
4gt13_90.qasm,107,65,53,50
4gt5_77.qasm,131,74,58,51
one-two-three-v1_99.qasm,132,76,59,56
rd53_138.qasm,132,56,60,42
pf1_10_before.qasm,260,171,60,60
decod24-v3_45.qasm,150,84,64,57
one-two-three-v0_98.qasm,146,82,65,59
4gt10-v1_81.qasm,148,84,66,60
aj-e11_165.qasm,151,86,69,63
alu-v2_32.qasm,163,92,72,64
4mod7-v1_96.qasm,164,94,72,65
4mod7-v0_94.qasm,162,92,72,66
mini_alu_305.qasm,173,69,77,53
mod10_176.qasm,178,101,78,70
4gt4-v0_80.qasm,179,101,79,71
cnt3-5_179.qasm,175,61,85,43
4gt12-v0_88.qasm,194,108,86,77
ising_model_10.qasm,480,70,90,20
qft_10.qasm,200,63,90,34
sys6-v0_111.qasm,215,75,98,55
4_49_16.qasm,217,125,99,91
4gt12-v1_89.qasm,228,130,100,88
rd73_140.qasm,230,92,104,68
0410184_169.qasm,211,104,104,70
4gt4-v0_79.qasm,231,132,105,94
hwb4_49.qasm,233,134,107,99
mod10_171.qasm,244,139,108,97
4gt4-v0_78.qasm,235,137,109,99
4gt12-v0_87.qasm,247,131,112,94
4gt4-v0_72.qasm,258,137,113,95
4gt12-v0_86.qasm,251,135,116,98
4gt4-v1_74.qasm,273,154,119,108
ising_model_13.qasm,633,71,120,20
pf1_20_before.qasm,520,341,120,120
pf1_20_after.qasm,300,186,120,120
pf2_10_before.qasm,510,341,120,120
sym6_316.qasm,270,135,123,98
rd53_311.qasm,275,124,124,92
mini-alu_167.qasm,288,162,126,111
one-two-three-v0_97.qasm,290,163,128,116
rd53_135.qasm,296,159,134,114
sym9_146.qasm,328,127,148,91
decod24-enable_126.qasm,338,190,149,134
ham7_104.qasm,320,185,149,134
ising_model_16.qasm,786,71,150,20
mod8-10_178.qasm,342,193,152,135
rd84_142.qasm,343,110,154,81
ex3_229.qasm,403,226,175,157
4gt4-v0_73.qasm,395,227,179,160
pf1_30_after.qasm,450,276,180,180
pf1_30_before.qasm,780,511,180,180
mod8-10_177.qasm,440,251,196,178
alu-v2_31.qasm,451,255,198,172
rd53_131.qasm,469,261,200,175
C17_204.qasm,467,253,205,173
cnt3-5_180.qasm,485,209,215,148
alu-v2_30.qasm,504,285,223,199
mod5adder_127.qasm,555,302,239,208
qft_16.qasm,512,105,240,58
pf1_40_before.qasm,1040,681,240,240
pf2_20_before.qasm,1020,681,240,240
pf1_40_after.qasm,600,366,240,240
rd53_133.qasm,580,327,256,221
pf2_10_after.qasm,640,352,260,218
majority_239.qasm,612,344,267,232
ex2_227.qasm,631,355,275,241
cm82a_208.qasm,650,337,283,234
